GID,price,discount,payment_CreditCard,payment_Arrival,payment_ConvenienceStore,payment_ATM,payment_iBon,preferential_count,img_height,is_warm,is_cold,is_bright,is_dark,12H,shopcart,superstore,productFormatCount,attributesListArea,label
4368615,488,492,1,1,1,1,1,0,8353,1,0,1,0,0,1,1,1,1,0.0588235294118
3027560,2080,2200,1,0,0,1,1,0,7678,1,0,1,0,0,1,1,1,0,0.0
